DATE,RAINFALL(mm)
08142017,0
08152017,0
08162017,0
08172017,0
08182017,0
08192017,0
08202017,1
08212017,0
08222017,0.5
08232017,0
08242017,0.5
08252017,0
08262017,0
08272017,1
08282017,0
08292017,0
08302017,0
08312017,0
09012017,0
09022017,1
09032017,0
09042017,0
09052017,0
09062017,0
09072017,0
09082017,0
09092017,0
09102017,0
09112017,0
09122017,0
09132017,0
09142017,0
09152017,1
09162017,2
09172017,0
09182017,0
09192017,0
09202017,0
09212017,0
09222017,0
09232017,0
09242017,0
09252017,0
09262017,0
09272017,0
09282017,0
09292017,0
09302017,0
06012018,0
06022018,0
06032018,0
06042018,0
06052018,0
06062018,0
06072018,0
06082018,0
06092018,0
06102018,0
06112018,0
06122018,0
06132018,0
06142018,0
06152018,0
06162018,0
06172018,0
06182018,0
06192018,0
06202018,0
06212018,0
06222018,2
06232018,0
06242018,2
06252018,0
06262018,0
06272018,0
06282018,0
06292018,0
06302018,2
07012018,0
07022018,0
07032018,3
07042018,0
07052018,0.5
07062018,0
07072018,0
07082018,0.5
07092018,0
07102018,0.5
07112018,4
07122018,2
07132018,0
07142018,0
07152018,1.5
07162018,0.5
07172018,0
07182018,0
07192018,1
07202018,4.5
07212018,1
07222018,0.5
07232018,0
07242018,0
07252018,0
07262018,0
07272018,0
07282018,0
07292018,0
07302018,0
07312018,0
08012018,0
08022018,0
08032018,0
08042018,0
08052018,0
08062018,0
08072018,0
08082018,7
08092018,3
08102018,0
08112018,0
08122018,0
08132018,0
08142018,0
08152018,0
08162018,0
08172018,13
08182018,3
08192018,5
08202018,0
08212018,4
08222018,8
08232018,0.5
08242018,2.5
08252018,3.5
08262018,2.5
08272018,3
08282018,0
08292018,1.5
08302018,0
08312018,0.5
09012018,4
09022018,1
09032018,1
09042018,0
09052018,0
09062018,0
09072018,0
09082018,0
09092018,0
09102018,0
09112018,0.5
09122018,0
09132018,0
09142018,0
09152018,0
09162018,0
09172018,0
09182018,0
09192018,0
09202018,0
09212018,0
09222018,7
09232018,4
09242018,0
09252018,0
09262018,0
09272018,0
09282018,0
09292018,0
09302018,0
